file_id,repo_id,path,extension,is_workflow_file
a39bf64f8f00799af380df76571c2a0c6bef7a2f,212840200,.dockerignore,,false
0a6366ad130d5bb52f616549c32315df4cd64f21,212840200,.gitattributes,,false
64e61e7a55320be4dd0d5aeeaa8ab73fabcec89c,212840200,.github/CODEOWNERS,,false
b676ccbf955fefc2ab60cb092fc62f6c097d00a4,212840200,.github/ISSUE_TEMPLATE/bug_report.md,md,false
ab1d4762d4ac18babb78bfd0bf2a3d59ac10a38f,212840200,.github/ISSUE_TEMPLATE/feature_request.md,md,false
dc61f3647f83455dffba3d74a62f80970fd2e721,212840200,.github/dependabot.yml,yml,false
8c5ee632462dad2a924df678392c6f9e0246b1b1,212840200,.github/pull_request_template.md,md,false
7b8f658ebb982bf4df8cabe7bd75ae5de7f5f3fa,212840200,.github/workflows/announce-release.yml,yml,false
e8fbc7f704ada5c6d1aa5a1bd9ab4ccf1863f6ca,212840200,.github/workflows/codespell.yml,yml,false
d331a490e52b61798b110745b6d19128fa9110f8,212840200,.github/workflows/conventional-prs.yml,yml,false
a2c2d52c767f4ceee2b5f6f0ddfd0de6ef6a0b5c,212840200,.github/workflows/docker-publish.yml,yml,false
fe6add1b60b34d8161f48dcd3148484ff73be4ba,212840200,.github/workflows/docs.yml,yml,false
20291570bd26ed5f33f6ad333c57bd31ebeb3b7d,212840200,.github/workflows/main.yml,yml,false
d48d7628de477fb907d37810ddb6ddb0db208b5d,212840200,.github/workflows/release-please.yml,yml,false
9c4ed0a80c17b8541ef2234c6997ad4d2ae1d8d3,212840200,.github/workflows/scripts/sacct-proxy.py,py,false
bf9c19a2f63bb0f526397db959b0bd16f455de56,212840200,.github/workflows/stale.yml,yml,false
4e738b27858cea7e53e19f932a93d2772674f94f,212840200,.gitignore,,false
d053f2ef81d83b1aa7cc88f4c7205f36a09fa288,212840200,.gitpod.yml,yml,false
0cb6a6a656953be76a539ad91f778e0f041ec7d8,212840200,.readthedocs.yml,yml,false
83f3001b087acc1662af257646620f5a3b195013,212840200,.sonarcloud.properties,properties,false
388b4145aa61d1aa3c7cf50278a10e0915f7c041,212840200,.test_durations,,false
5efdcd9a2aea635576bf7e96eb54d1865120dd6f,212840200,.wci.yml,yml,false
83a6c0d1b43a15933873af054bc42739435259be,212840200,CHANGELOG.md,md,false
ba2f621fcdff8f319385fbc395714989e293c601,212840200,CODE_OF_CONDUCT.md,md,false
30368e6aaca2b2c5b26afce9a1493848ec410ea7,212840200,Dockerfile,,false
7dad907001408e04d20341c6e655f4c85a5eb8e3,212840200,LICENSE.md,md,false
52c7bcd9ee64b2bad9749d0680579c2e5a85b54d,212840200,MANIFEST.in,in,false
5642fb805d987d0f3e1a5ce729a746e8e0c9bde6,212840200,README.md,md,false
87aea2a1aefe4a5bd0c7db523f0038d5b600a692,212840200,apidocs/.readthedocs.yaml,yaml,false
96c01c072c060391bc8967002caf321a2eb9023b,212840200,apidocs/Makefile,,false
401a05dad0bf8fd651fb292c94dd50a96b9b38a2,212840200,apidocs/_templates/module_template.rst,rst,false
3681ebc2dda4d57e53225fa34d339359e2baaaa0,212840200,apidocs/_templates/toc.html,html,false
4551f475288ced4a69a36dac869fadca24b5e496,212840200,apidocs/api_reference/internal/modules.rst,rst,false
d6b3f1d21b1c9eda43b65b05a6e1c0f0643951a6,212840200,apidocs/api_reference/internal/snakemake.assets.rst,rst,false
31f11503a1b69e1ae5971c9eba1c4ae890ea67c9,212840200,apidocs/api_reference/internal/snakemake.caching.rst,rst,false
dee0320f02e85e25108c4256709a8ea60b4da842,212840200,apidocs/api_reference/internal/snakemake.common.rst,rst,false
a25154876073a55f3dc22625e71c4a124e9ca45c,212840200,apidocs/api_reference/internal/snakemake.common.tests.rst,rst,false
5239c97c2fd55b4a78e776d1f7e388dcd3fc8039,212840200,apidocs/api_reference/internal/snakemake.common.tests.testcases.groups.rst,rst,false
eca3f3ba6b0bb4343edd38dfcbdb6214941495f0,212840200,apidocs/api_reference/internal/snakemake.common.tests.testcases.rst,rst,false
874421e16e28f8f8c567a2d5f4e507eee925b450,212840200,apidocs/api_reference/internal/snakemake.common.tests.testcases.simple.rst,rst,false
a977e434a2ab88070616c7e987c19ebb3589b260,212840200,apidocs/api_reference/internal/snakemake.deployment.rst,rst,false
d80666b4afac98d66ca30f6a31ab5a4cf593f7db,212840200,apidocs/api_reference/internal/snakemake.executors.rst,rst,false
e719f948e9188c4dc59a809e94c5e936ae430a5f,212840200,apidocs/api_reference/internal/snakemake.ioutils.rst,rst,false
34504ec6b2debacc65ae7cda9dbd3824c16984f5,212840200,apidocs/api_reference/internal/snakemake.linting.rst,rst,false
b378213870af9d98e4c588b68be0066bd9181283,212840200,apidocs/api_reference/internal/snakemake.remote.rst,rst,false
f676ae4c0162729c6ae46859090fafc7836e55b5,212840200,apidocs/api_reference/internal/snakemake.report.html_reporter.data.rst,rst,false
d1527c2f22cb1e6e689d64b69982ca86d453e0d5,212840200,apidocs/api_reference/internal/snakemake.report.html_reporter.rst,rst,false
